brand,years,usingyears,tag_price,cc,gasoline,max_,compression,doors,source,mileage,type_number,certificate,residual_value
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,abc,25000,1,0,90.45936396
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,8891,20000,1,0,90.45936396
TOYOTA,2016,2,81.3,2000,¨Tªo,146,10,5,8891,22000,3,0,90.40590406
HONDA,2015,3,73.9,1800,¨Tªo,141,10.6,4,8891,41000,2,0,90.39242219
FORD,2016,2,186.8,2300,¨Tªo,314,9.5,2,abc,10000,1,0,90.3640257
TOYOTA,2016,2,93.9,2000,¨Tªo,167,12.7,4,abc,4671,3,1,90.30883919
HONDA,2016,2,62.9,1500,¨Tªo,120,10.3,4,SUM,15223,3,1,90.30206677
HONDA,2016,2,62.9,1500,¨Tªo,120,10.3,4,abc,15223,2,0,90.30206677
HONDA,2015,3,90.9,2400,¨Tªo,190,10,5,UCar,19970,4,0,90.2090209
HONDA,2015,3,90.9,2400,¨Tªo,190,10,5,UCar,11811,4,0,90.2090209
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,8891,7130,3,0,90.20452099
FORD,2015,3,60.8,1500,¨Tªo,112,11,5,8891,21000,4,0,90.13157895
TOYOTA,2015,3,69.9,1800,¨Tªo,140,10,4,abc,33214,6,0,90.12875536
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,UCar,40000,5,0,89.98302207
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,UCar,37000,5,0,89.98302207
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,8891,21000,5,0,89.98302207
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,UCar,19000,5,0,89.98302207
TOYOTA,2015,3,69.9,1800,¨Tªo,140,10,4,SUM,30000,6,0,89.84263233
NISSAN,2016,2,106.9,2500,¨Tªo,169.4,10,5,8891,13000,3,0,89.80355472
MAZDA,2016,2,77.9,2000,¨Tªo,156,14,5,8891,20000,2,0,89.73042362
NISSAN,2016,2,106.9,2500,¨Tªo,169.4,10,5,8891,2093,3,0,89.71000935
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,abc,21266,5,1,89.6434635
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,abc,21000,5,1,89.6434635
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,SUM,37000,5,0,89.6434635
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,SUM,31000,5,1,89.6434635
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,8891,31000,5,0,89.6434635
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,8891,30000,5,1,89.6434635
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,SUM,12000,5,1,89.6434635
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,8891,5000,5,0,89.6434635
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,SUM,4980,5,0,89.6434635
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,abc,3419,5,1,89.6434635
HONDA,2016,2,65.9,1500,¨Tªo,120,10.3,5,abc,32000,3,0,89.52959029
FORD,2017,1,64.8,1500,¨Tªo,112,11,5,8891,9200,3,0,89.50617284
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,10000,2,0,89.46684005
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,abc,10000,5,0,89.46684005
NISSAN,2016,2,91.5,2000,¨Tªo,141.5,11.2,5,8891,5100,3,1,89.3989071
MITSUBISHI,2015,3,66.9,1800,¨Tªo,143,10.5,4,SUM,13711,4,1,89.38714499
NISSAN,2017,1,106.9,2500,¨Tªo,169.4,10,5,8891,4300,3,0,89.33582788
